taxon,level,genus,family,order,phylum
Acidovorax,genus,Acidovorax,Comamonadaceae,Burkholderiales,Proteobacteria
Acinetobacter,genus,Acinetobacter,Moraxellaceae,Pseudomonadales,Proteobacteria
Actinobaculum,genus,Actinobaculum,Actinomycetaceae,Actinomycetales,Actinobacteria
Actinomyces,genus,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria
Actinomycetales,order,Other,Other,Actinomycetales,Actinobacteria
Aerococcus,genus,Aerococcus,Aerococcaceae,Lactobacillales,Firmicutes
Alloscardovia,genus,Alloscardovia,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria
Anaerococcus,genus,Anaerococcus,Other,Clostridiales,Firmicutes
Anaerosphaera,genus,Anaerosphaera,Peptostreptococcaceae,Clostridiales,Firmicutes
Anaerovorax,genus,Anaerovorax,Other,Clostridiales,Firmicutes
Arcanobacterium,genus,Arcanobacterium,Actinomycetaceae,Actinomycetales,Actinobacteria
Atopobium,genus,Atopobium,Coriobacteriaceae,Coriobacteriales,Actinobacteria
Bacteroides,genus,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidetes
Bifidobacterium,genus,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria
Blautia,genus,Blautia,Other,Clostridiales,Firmicutes
Bradyrhizobiaceae,family,Other,Bradyrhizobiaceae,Rhizobiales,Proteobacteria
Campylobacter,genus,Campylobacter,Campylobacteraceae,Campylobacterales,Proteobacteria
Cloacibacterium,genus,Cloacibacterium,Flavobacteriaceae,Flavobacteriales,Bacteroidetes
Clostridiales,order,Other,Other,Clostridiales,Firmicutes
Clostridiales_Incertae_Sedis_XI,family,Other,Clostridiaceae,Clostridiales,Firmicutes
Clostridium_sensu_stricto,genus,Clostridium sensu stricto,Clostridiaceae,Clostridiales,Firmicutes
Clostridium_XI,genus,Clostridium XI,Clostridiaceae,Clostridiales,Firmicutes
Coriobacteriaceae,family,Other,Coriobacteriaceae,Coriobacteriales,Actinobacteria
Corynebacterium,genus,Corynebacterium,Corynebacteriaceae,Actinomycetales,Actinobacteria
Dialister,genus,Dialister,Veillonellaceae,Selenomonadales,Firmicutes
Dyella,genus,Dyella,Xanthomonadaceae,Xanthomonadales,Proteobacteria
Escherichia_Shigella,genus,Escherichia/Shigella,Enterobacteriaceae,Enterobacteriales,Proteobacteria
Facklamia,genus,Facklamia,Aerococcaceae,Lactobacillales,Firmicutes
Faecalibacterium,genus,Faecalibacterium,Ruminococcaceae,Clostridiales,Firmicutes
Fastidiosipila,genus,Fastidiosipila,Ruminococcaceae,Clostridiales,Firmicutes
Finegoldia,genus,Finegoldia,Other,Clostridiales,Firmicutes
Fusobacterium,genus,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteria
Gallicola,genus,Gallicola,Other,Clostridiales,Firmicutes
Gardnerella_Other,genus,Gardnerella,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria
Gardnerella_vaginalis,species,Gardnerella,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria
Gemella,genus,Gemella,Other,Bacillales,Firmicutes
Gordonibacter,genus,Gordonibacter,Coriobacteriaceae,Coriobacteriales,Actinobacteria
Helcococcus,genus,Helcococcus,Other,Clostridiales,Firmicutes
Jonquetella,genus,Jonquetella,Synergistaceae,Synergistales,Synergistetes
Klebsiella,genus,Klebsiella,Enterobacteriaceae,Enterobacteriales,Proteobacteria
Lachnospiracea_incertae_sedis,genus,Lachnospiracea_incertae_sedis,Lachnospiraceae,Clostridiales,Firmicutes
Lachnospiraceae,family,Other,Lachnospiraceae,Clostridiales,Firmicutes
Lactobacillus_coleohominis,species,Lactobacillus,Lactobacillaceae,Lactobacillales,Firmicutes
Lactobacillus_crispatus,species,Lactobacillus,Lactobacillaceae,Lactobacillales,Firmicutes
Lactobacillus_gasseri,species,Lactobacillus,Lactobacillaceae,Lactobacillales,Firmicutes
Lactobacillus_gigeriorum,species,Lactobacillus,Lactobacillaceae,Lactobacillales,Firmicutes
Lactobacillus_iners,species,Lactobacillus,Lactobacillaceae,Lactobacillales,Firmicutes
Lactobacillus_jensenii,species,Lactobacillus,Lactobacillaceae,Lactobacillales,Firmicutes
Lactobacillus_Other,genus,Lactobacillus,Lactobacillaceae,Lactobacillales,Firmicutes
Megasphaera,genus,Megasphaera,Veillonellaceae,Selenomonadales,Firmicutes
